epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.25,12.956970304250717,0.265625,18.236770629882812,0.01
2,0.2421875,6.101577460765839,0.328125,10.799740314483643,0.01
3,0.3046875,5.256451189517975,0.28125,4.706625699996948,0.01
4,0.375,3.1287371665239334,0.375,3.205745816230774,0.01
5,0.46875,2.3035717457532883,0.390625,2.3870224952697754,0.01
6,0.42578125,2.2616240084171295,0.34375,2.3349722623825073,0.01
7,0.3515625,2.2803359925746918,0.390625,1.7302229404449463,0.01
8,0.42578125,2.500481069087982,0.328125,3.47953200340271,0.01
9,0.484375,2.291342481970787,0.359375,1.8288224339485168,0.01
10,0.41796875,1.762538991868496,0.375,1.8055083751678467,0.01
11,0.4296875,1.8812734708189964,0.390625,1.32957524061203,0.01
12,0.44921875,1.3234104290604591,0.375,1.3486859202384949,0.01
13,0.453125,1.1202113181352615,0.421875,1.265343189239502,0.01
14,0.33203125,1.0258058533072472,0.359375,1.5095255374908447,0.01
15,0.3359375,1.1195621192455292,0.328125,2.2025177478790283,0.01
16,0.3359375,1.0108572989702225,0.453125,1.397821843624115,0.01
17,0.3671875,1.1646503880620003,0.46875,1.4063958525657654,0.01
18,0.453125,1.158076211810112,0.515625,1.25264310836792,0.01
19,0.40625,1.3494182005524635,0.40625,3.811607241630554,0.01
20,0.640625,1.4590601846575737,0.4375,1.2483516335487366,0.01
21,0.62109375,1.0936461389064789,0.453125,1.4239457845687866,0.01
22,0.53125,0.8636124208569527,0.4375,1.63938707113266,0.01
23,0.54296875,0.7418991029262543,0.390625,1.5744788646697998,0.01
24,0.5859375,0.6654050648212433,0.46875,1.5090435147285461,0.01
25,0.59375,0.6673406921327114,0.4375,1.5404515266418457,0.01
26,0.6953125,0.6416094191372395,0.578125,1.1193927526474,0.01
27,0.5625,0.4986117109656334,0.46875,1.5623385310173035,0.01
28,0.640625,0.5647790767252445,0.578125,1.304805338382721,0.01
29,0.78515625,0.44770482182502747,0.609375,0.7743185460567474,0.01
30,0.74609375,0.37660620734095573,0.5625,1.0499151051044464,0.01
31,0.69921875,0.3718813508749008,0.609375,1.348417341709137,0.01
32,0.8984375,0.3708127047866583,0.640625,0.6942940950393677,0.01
33,0.90234375,0.39349119924008846,0.65625,0.9329231381416321,0.01
34,0.70703125,0.3694550935178995,0.390625,1.6257513761520386,0.01
35,0.88671875,0.3423976358026266,0.609375,0.912588894367218,0.01
36,0.40625,0.28108901157975197,0.390625,5.401362419128418,0.01
37,0.73046875,0.25900319032371044,0.578125,1.8983327746391296,0.01
38,0.9375,0.2549540661275387,0.59375,1.1402179598808289,0.01
39,0.62109375,0.2118458328768611,0.328125,3.297305107116699,0.01
40,0.5625,0.1731148660182953,0.34375,3.5138392448425293,0.01
41,0.8984375,0.14430370088666677,0.625,1.4018157720565796,0.01
