epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.2578125,2.300336241722107,0.21875,1.427119255065918,0.0001
2,0.2578125,1.8693369030952454,0.21875,1.4566649198532104,0.0001
3,0.2578125,1.855094850063324,0.21875,1.4608533382415771,0.0001
4,0.2578125,1.823716640472412,0.21875,1.4474185705184937,0.0001
5,0.27734375,1.8112105131149292,0.1875,1.4353431463241577,0.0001
6,0.2734375,1.6667264103889465,0.15625,1.4351063966751099,0.0001
7,0.2734375,1.63707834482193,0.15625,1.445534586906433,0.0001
8,0.2734375,1.6785242557525635,0.15625,1.4654024839401245,0.0001
9,0.2734375,1.6399381756782532,0.15625,1.491533875465393,0.0001
