epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.23046875,17.671196937561035,0.296875,17.820693969726562,0.01
2,0.23828125,4.075306594371796,0.3125,24.24454689025879,0.01
3,0.23828125,4.135875642299652,0.3125,10.41950511932373,0.01
4,0.23828125,3.9802987575531006,0.3125,11.462858200073242,0.01
5,0.26953125,3.2556203305721283,0.203125,9.88194751739502,0.01
6,0.34765625,2.8821268677711487,0.46875,6.155472755432129,0.01
7,0.44140625,2.8185929358005524,0.546875,5.079074859619141,0.01
8,0.4453125,2.796238899230957,0.421875,3.9455339908599854,0.01
9,0.53515625,1.4541195034980774,0.515625,2.8227272033691406,0.01
10,0.4765625,2.155371993780136,0.453125,4.460995674133301,0.01
11,0.4765625,2.543962836265564,0.375,4.309940338134766,0.01
12,0.50390625,1.6896523237228394,0.484375,3.4049623012542725,0.01
13,0.5078125,1.537907063961029,0.390625,3.401620626449585,0.01
14,0.38671875,1.2673943787813187,0.40625,4.0076518058776855,0.01
15,0.4375,1.294515460729599,0.34375,3.245356559753418,0.01
