epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.265625,3.2491294741630554,0.1875,1.4766712188720703,0.001
2,0.265625,2.111104965209961,0.1875,1.6976350545883179,0.001
3,0.26953125,2.493369221687317,0.203125,1.8902039527893066,0.001
4,0.26953125,2.2592660188674927,0.203125,1.9508423805236816,0.001
5,0.26953125,1.757893681526184,0.1875,1.9194190502166748,0.001
6,0.265625,1.393984079360962,0.1875,1.945493459701538,0.001
7,0.265625,1.571461260318756,0.1875,2.1528491973876953,0.001
8,0.265625,1.4613316059112549,0.1875,2.5514414310455322,0.001
9,0.265625,1.2680622339248657,0.1875,2.731746196746826,0.001
10,0.26953125,1.2650095224380493,0.1875,2.7783565521240234,0.001
11,0.3046875,1.308820903301239,0.25,2.763190269470215,0.001
12,0.26953125,1.220695972442627,0.203125,2.770496368408203,0.001
13,0.26953125,1.1959518790245056,0.203125,2.8809778690338135,0.001
14,0.26953125,1.1480287313461304,0.203125,2.9754695892333984,0.001
15,0.26953125,1.1633530855178833,0.203125,2.7998697757720947,0.001
16,0.2734375,1.100862741470337,0.203125,2.7423477172851562,0.001
17,0.26953125,1.3246301412582397,0.1875,2.9244141578674316,0.001
18,0.26953125,1.0477719902992249,0.1875,3.157296657562256,0.001
19,0.26953125,1.1386231780052185,0.1875,3.3017749786376953,0.001
