epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.25,1.802663505077362,0.25,1.3962993621826172,0.0001
2,0.25,1.701288640499115,0.25,1.415786623954773,0.0001
3,0.25,1.8006529211997986,0.25,1.4419240951538086,0.0001
4,0.25,1.7022032141685486,0.25,1.4752229452133179,0.0001
5,0.25,1.682546079158783,0.25,1.5163586139678955,0.0001
6,0.25,1.6807343363761902,0.25,1.5633759498596191,0.0001
7,0.25,1.6802088618278503,0.25,1.6124866008758545,0.0001
8,0.25,1.6408060193061829,0.25,1.6677180528640747,0.0001
9,0.25,1.5729094743728638,0.25,1.7223725318908691,0.0001
