epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.2890625,3.7272803485393524,0.21875,28.174686431884766,0.01
2,0.234375,1.945471465587616,0.3125,12.504081726074219,0.01
3,0.46875,1.2208557426929474,0.296875,6.847292900085449,0.01
4,0.71875,0.7245974242687225,0.40625,3.7655797004699707,0.01
5,0.6171875,0.2743251919746399,0.484375,5.876655101776123,0.01
6,0.7578125,0.3251798711717129,0.515625,5.010102272033691,0.01
7,0.93359375,0.20607288926839828,0.5,3.539803981781006,0.01
8,0.953125,0.08535514120012522,0.453125,4.028326511383057,0.01
9,0.99609375,0.06933776289224625,0.515625,3.3501505851745605,0.01
10,0.9921875,0.04862553346902132,0.53125,3.300675630569458,0.01
11,0.9921875,0.09592784941196442,0.453125,4.20355224609375,0.01
12,0.99609375,0.07214307133108377,0.515625,4.356233596801758,0.01
13,0.99609375,0.04648997576441616,0.515625,4.361999988555908,0.01
14,1.0,0.04216533433645964,0.546875,4.299358367919922,0.01
15,1.0,0.010191881214268506,0.546875,4.154972553253174,0.01
16,1.0,0.012979659673874266,0.59375,4.116443634033203,0.01
17,1.0,0.01666026865132153,0.625,4.118958950042725,0.01
18,1.0,0.026511100120842457,0.59375,4.313506603240967,0.01
19,1.0,0.07908400753512979,0.53125,4.6526994705200195,0.01
20,1.0,0.003385181407793425,0.484375,4.708612442016602,0.01
21,1.0,0.04339369700755924,0.515625,4.693737983703613,0.01
22,1.0,0.03174827666953206,0.5,4.872472286224365,0.01
23,1.0,0.05712047728593461,0.484375,4.848816871643066,0.01
24,1.0,0.0257178643005318,0.546875,4.520085334777832,0.01
25,1.0,0.03084528644103557,0.546875,4.5100016593933105,0.01
