epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.25390625,1.8829011172056198,0.234375,1.5125552415847778,0.0001
2,0.25390625,1.7661338597536087,0.234375,1.6164098381996155,0.0001
3,0.25390625,1.79021455347538,0.234375,1.748160719871521,0.0001
4,0.25390625,1.6138063222169876,0.234375,1.8970341086387634,0.0001
5,0.25390625,1.5557571351528168,0.234375,2.0190855264663696,0.0001
6,0.25390625,1.660347729921341,0.234375,2.118475377559662,0.0001
7,0.25390625,1.5269052237272263,0.234375,2.1647759675979614,0.0001
8,0.2578125,1.5976966470479965,0.234375,2.133302330970764,0.0001
9,0.26953125,1.5371412932872772,0.25,2.1241860389709473,0.0001
10,0.28515625,1.516146942973137,0.21875,2.0968250036239624,0.0001
11,0.28125,1.5257472097873688,0.25,2.0267431139945984,0.0001
12,0.2890625,1.5225138813257217,0.234375,2.0625351667404175,0.0001
13,0.2734375,1.4692533910274506,0.25,2.1357282400131226,0.0001
14,0.26953125,1.4748542308807373,0.25,2.148937702178955,0.0001
15,0.28125,1.4976474940776825,0.25,2.1502344608306885,0.0001
16,0.28125,1.3505489528179169,0.25,2.2943880558013916,0.0001
17,0.28125,1.4051305204629898,0.25,2.4229830503463745,0.0001
