epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.25,1.9118012338876724,0.25,25.587425231933594,0.001
2,0.23828125,1.090512178838253,0.328125,13.460519790649414,0.001
3,0.25,0.68264951556921,0.25,14.644466876983643,0.001
4,0.23046875,0.46269649639725685,0.328125,9.944319248199463,0.001
5,0.5625,0.2654538694769144,0.296875,5.596926927566528,0.001
6,0.6015625,0.20284461975097656,0.3125,4.2318034172058105,0.001
7,0.75,0.14921497274190187,0.34375,3.4599006175994873,0.001
8,0.8984375,0.11460111662745476,0.390625,2.1599718928337097,0.001
9,1.0,0.11118219513446093,0.546875,1.5463364124298096,0.001
10,1.0,0.08114433172158897,0.5625,1.4353225827217102,0.001
11,1.0,0.07485285820439458,0.609375,1.4517199993133545,0.001
12,1.0,0.060419219080358744,0.546875,1.4485058784484863,0.001
13,1.0,0.05801875190809369,0.609375,1.4456831812858582,0.001
14,1.0,0.04474049201235175,0.59375,1.5071079730987549,0.001
15,1.0,0.07837635395117104,0.5625,1.521569311618805,0.001
16,1.0,0.046877676621079445,0.5625,1.5427212715148926,0.001
17,1.0,0.05737680790480226,0.5625,1.5859918594360352,0.001
18,1.0,0.03630164382047951,0.5,1.5155152082443237,0.001
19,1.0,0.039383249124512076,0.546875,1.5031628012657166,0.001
