epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.5077319587628866,1.5786836928334729,0.4536082474226804,1.554515662471863,0.001
2,0.7152061855670103,0.9993099718258298,0.5876288659793815,1.0071130696031236,0.001
3,0.6258591065292096,0.8747784210176304,0.5085910652920962,1.3644551485264833,0.001
4,0.6679553264604811,0.8427099923635352,0.5618556701030928,1.2379168177798032,0.001
5,0.3543814432989691,1.138849849998951,0.31443298969072164,4.247390353802553,0.001
6,0.6413230240549829,0.7693028245763532,0.5652920962199313,1.4085118737827051,0.001
7,0.7319587628865979,0.668608288877997,0.6185567010309279,1.4011307098611523,0.001
8,0.4643470790378007,0.8632888589953555,0.37800687285223367,3.4421789048053966,0.001
9,0.7362542955326461,0.614981151243736,0.6202749140893471,1.1849025045473551,0.001
10,0.6778350515463918,0.6687592722475528,0.6460481099656358,1.5495922852217947,0.001
11,0.9248281786941581,1.1742196326111924,0.7646048109965635,0.6425419905546195,0.001
12,0.8934707903780069,0.46327678419906515,0.7302405498281787,0.7604282356004944,0.001
13,0.5176116838487973,0.888921865718118,0.4415807560137457,4.192196493705933,0.001
14,0.5713058419243986,0.7418486704150664,0.5017182130584192,3.5124609896407506,0.001
15,0.8810137457044673,0.5355548993523779,0.7199312714776632,0.8522650632251989,0.001
16,0.9402920962199313,0.4526189059276005,0.7577319587628866,0.6386778825746778,0.001
17,0.41580756013745707,0.5262453353096699,0.35051546391752575,6.990685495723973,0.001
18,0.4793814432989691,0.8804474779308356,0.40893470790378006,6.159368662490058,0.001
19,0.4170962199312715,0.558372985481702,0.35738831615120276,14.148983906224831,0.001
