epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.2578125,13.616967052221298,0.25,21.370677947998047,0.01
2,0.24609375,3.8167953491210938,0.28125,12.258967399597168,0.01
3,0.25390625,3.8548255562782288,0.265625,8.072107315063477,0.01
4,0.23828125,9.553841352462769,0.3125,3.061840295791626,0.01
5,0.26171875,6.996942400932312,0.234375,7.169737339019775,0.01
6,0.27734375,5.813053846359253,0.234375,7.0714006423950195,0.01
7,0.265625,2.715770184993744,0.25,12.025028228759766,0.01
8,0.30859375,2.9644574522972107,0.234375,12.151901245117188,0.01
9,0.2578125,2.1941229701042175,0.234375,16.308435440063477,0.01
10,0.26953125,1.7162110805511475,0.234375,6.650810718536377,0.01
11,0.44140625,1.4506172835826874,0.328125,3.5225000381469727,0.01
12,0.515625,1.392348736524582,0.453125,1.954791784286499,0.01
13,0.51171875,1.3621384799480438,0.46875,1.6493908166885376,0.01
14,0.3671875,1.5171781480312347,0.359375,2.4218215942382812,0.01
15,0.28515625,1.522521898150444,0.296875,2.6180081367492676,0.01
16,0.33203125,1.4467694759368896,0.28125,2.9882242679595947,0.01
17,0.29296875,1.4309971630573273,0.28125,3.0410478115081787,0.01
18,0.29296875,1.3300511091947556,0.296875,2.6376030445098877,0.01
19,0.34375,1.5350617170333862,0.40625,2.2224385738372803,0.01
20,0.30078125,1.2854420244693756,0.3125,2.566620349884033,0.01
21,0.3125,1.1452240347862244,0.28125,2.360116481781006,0.01
