epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.2578125,13.966119527816772,0.203125,22.233814239501953,0.01
2,0.2578125,4.988202214241028,0.21875,28.732641220092773,0.01
3,0.2578125,3.704486310482025,0.203125,37.325714111328125,0.01
4,0.23828125,4.423194408416748,0.28125,15.74026870727539,0.01
5,0.4296875,3.8583872318267822,0.421875,13.523934364318848,0.01
6,0.50390625,3.0138425827026367,0.421875,15.067276000976562,0.01
7,0.5546875,3.0667068362236023,0.4375,10.724346160888672,0.01
8,0.55859375,2.4472073912620544,0.453125,7.9459381103515625,0.01
9,0.5390625,2.0341082215309143,0.453125,8.497955322265625,0.01
10,0.5234375,1.4658872932195663,0.4375,9.600895881652832,0.01
11,0.5,1.8138581216335297,0.53125,8.499444961547852,0.01
12,0.515625,1.727626919746399,0.46875,7.056059837341309,0.01
13,0.515625,1.2944504022598267,0.390625,7.138422012329102,0.01
14,0.52734375,1.2430642247200012,0.46875,7.237963676452637,0.01
15,0.5078125,1.2703509628772736,0.421875,7.346304416656494,0.01
16,0.578125,1.4117306023836136,0.515625,7.470074653625488,0.01
17,0.55859375,1.7679147124290466,0.515625,6.66438102722168,0.01
18,0.5078125,1.739186316728592,0.4375,7.149170398712158,0.01
19,0.55859375,1.4228448122739792,0.546875,7.391054630279541,0.01
20,0.5234375,1.6403167247772217,0.40625,7.954733848571777,0.01
21,0.55859375,1.708710253238678,0.53125,7.183594703674316,0.01
22,0.5625,1.8956549763679504,0.46875,6.742366790771484,0.01
23,0.56640625,1.8123238384723663,0.515625,7.589075565338135,0.01
24,0.5390625,1.6835193634033203,0.40625,6.839537620544434,0.01
25,0.484375,1.6923163384199142,0.453125,7.533574104309082,0.01
26,0.60546875,1.8004113733768463,0.4375,6.968175888061523,0.01
27,0.7109375,1.0671787559986115,0.5625,6.691620826721191,0.01
28,0.609375,1.143065258860588,0.4375,6.810119152069092,0.01
29,0.60546875,0.9232126027345657,0.484375,5.928351879119873,0.01
30,0.66015625,0.9280312359333038,0.46875,6.104556560516357,0.01
31,0.76171875,0.7102663516998291,0.546875,5.242679119110107,0.01
32,0.75390625,0.776741087436676,0.515625,4.795279026031494,0.01
33,0.703125,0.6131270378828049,0.484375,5.462595462799072,0.01
34,0.77734375,0.6282318755984306,0.515625,4.913899898529053,0.01
35,0.765625,0.7539645433425903,0.46875,5.052704334259033,0.01
