epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.4699312714776632,4.301952317357063,0.43986254295532645,1.65651317560386,0.01
2,0.42998281786941583,2.0192486312654285,0.422680412371134,1.659763056388016,0.01
3,0.42353951890034364,1.586474147107866,0.45017182130584193,2.14638914623621,0.01
4,0.5253436426116839,1.2383241570658154,0.5171821305841925,1.5594923152137048,0.01
5,0.6357388316151202,1.0293575728105173,0.6391752577319587,0.9585513133568453,0.01
6,0.5902061855670103,0.7749721329245303,0.5927835051546392,1.2539280450221189,0.01
7,0.6258591065292096,0.7010881449613307,0.5859106529209622,0.9857227785890454,0.01
8,0.6937285223367697,0.6149746191998323,0.6718213058419243,0.8831745023579941,0.01
9,0.5640034364261168,0.6097052403622203,0.5498281786941581,1.7252417081819778,0.01
10,0.8058419243986255,0.5344724779327711,0.7525773195876289,0.5642175697993577,0.01
11,0.6451890034364262,0.47883689651886624,0.6288659793814433,1.3793634550063472,0.01
12,0.7121993127147767,0.4529924692793025,0.6872852233676976,0.8332555013423932,0.01
13,0.49742268041237114,0.4041045732382271,0.49828178694158076,3.049854684531484,0.01
14,0.8423539518900344,0.3658892336404986,0.7920962199312714,0.5237322886477631,0.01
15,0.7199312714776632,0.37351245805621147,0.6752577319587629,1.2569646069786393,0.01
16,0.8311855670103093,0.32943036665933,0.7491408934707904,0.6201815272319767,0.01
17,0.747852233676976,0.3301277715298865,0.7044673539518901,1.1532635135748952,0.01
18,0.9243986254295533,0.3156964070060187,0.845360824742268,0.43788687119266834,0.01
19,0.531786941580756,0.3131045930915409,0.5257731958762887,2.333016336988338,0.01
20,0.8758591065292096,0.2839860765056478,0.8006872852233677,0.6672254495476324,0.01
21,0.6791237113402062,0.3047678130161431,0.6323024054982818,1.5486282673488367,0.01
22,0.7233676975945017,0.308553253662669,0.6786941580756014,1.5197417444175052,0.01
23,0.8694158075601375,0.22680118597216076,0.8075601374570447,0.6579012262964576,0.01
24,0.8646907216494846,0.24856082691500583,0.7869415807560137,0.6954307489391557,0.01
25,0.7615979381443299,0.1918432637014323,0.711340206185567,1.4454113978546919,0.01
26,0.8140034364261168,0.19342269531140724,0.7302405498281787,1.2009033766683972,0.01
