epoch,train_accuracy,train_loss,valid_accuracy,valid_loss,lr
1,0.24871134020618557,1.7111645705170102,0.25257731958762886,14.39510675148456,0.001
2,0.49140893470790376,1.9192789362536535,0.46219931271477666,2.149506732770258,0.001
3,0.7607388316151202,1.0424149086078007,0.654639175257732,0.7585253535267413,0.001
4,0.7946735395189003,0.8107681307527754,0.6804123711340206,0.7814016882906255,0.001
5,0.8256013745704467,0.7107467212610774,0.6838487972508591,0.7014832738338876,0.001
6,0.5369415807560137,0.9821226158075862,0.46563573883161513,1.8554209511714292,0.001
7,0.7680412371134021,0.8596416521403525,0.6735395189003437,0.9324055430815392,0.001
8,0.7491408934707904,0.7518051208721267,0.634020618556701,0.939167160143967,0.001
9,0.759020618556701,0.6227140625317892,0.6426116838487973,0.9121351913897852,0.001
10,0.9213917525773195,0.42973672846953076,0.7542955326460481,0.5867130203345388,0.001
11,0.9226804123711341,0.36874784487817025,0.7938144329896907,0.5587303200128562,0.001
12,0.9248281786941581,0.33399464562535286,0.7697594501718213,0.552107704464103,0.001
13,0.9381443298969072,0.29264770862128997,0.7680412371134021,0.5678137098391032,0.001
14,0.8131443298969072,0.31027000149091083,0.6890034364261168,0.8305362598183229,0.001
15,0.8127147766323024,0.30325279012322426,0.7250859106529209,0.780955950419108,0.001
16,0.8054123711340206,0.3014722963174184,0.6701030927835051,0.9363905099505412,0.001
17,0.9759450171821306,0.28521358138985103,0.8006872852233677,0.504745168989057,0.001
18,0.9587628865979382,0.19291264481014675,0.7646048109965635,0.5364778465831402,0.001
19,0.979381443298969,0.20725246187713411,0.8109965635738832,0.49788103931138605,0.001
20,0.8960481099656358,0.18089737039473322,0.7405498281786942,0.693255286446142,0.001
21,0.8449312714776632,0.20087294239136907,0.7268041237113402,0.8786447007221865,0.001
22,0.8672680412371134,0.22040568561189705,0.7422680412371134,0.7416352041808191,0.001
23,0.5957903780068728,0.2593307484769159,0.5137457044673539,3.767303399613633,0.001
24,0.9810996563573883,0.40638026657203835,0.8006872852233677,0.5566414033424404,0.001
25,0.5343642611683849,0.23239105194807053,0.5154639175257731,3.2800345443368366,0.001
26,0.7856529209621993,0.2739537801179621,0.6804123711340206,1.2958814741409932,0.001
27,0.9553264604810997,0.34567567457755405,0.7869415807560137,0.5819063002301246,0.001
